throughput,Caracal ES=100,throughput,Caracal ES=500,throughput,Caracal ES=1000,throughput,Caracal ES=5000,throughput,Caracal ES=10000,throughput,Caracal ES=20000
0.39,483200,0.89,195300,1.05,159300,1.26,155200,1.3,301400,1.25,631300
0.39,475000,0.9,180100,1.06,146600,1.27,141200,1.29,274400,1.25,573700
0.39,433400,0.89,141600,1.06,107500,1.26,94900,1.28,181400,1.24,387400
0.38,394900,0.89,102300,1.06,67900,1.25,47700,1.28,88000,1.23,202600
0.39,355500,0.89,64300,1.05,29100,1.2,10400,1.22,15000,1.22,27500
0.38,317400,0.89,24800,0.99,5300,0.98,9500,0.98,16300,0.98,30100
0.39,115100,0.5,3400,0.5,5500,0.49,13600,0.5,25100,0.5,49300
0.25,2900,0.25,2500,0.25,4800,0.25,22700,0.25,44700,0.25,88800
