throughput,Caracal ES=100,throughput,Caracal ES=500,throughput,Caracal ES=1000,throughput,Caracal ES=5000,throughput,Caracal ES=10000,throughput,Caracal ES=20000
0.41,458200,1.24,131000,1.67,90400,2.27,72300,2.19,143300,2.09,321900
0.42,436600,1.25,118900,1.67,78800,2.27,57900,2.2,122700,2.1,263700
0.41,399700,1.25,79300,1.67,39600,2.25,11800,2.19,29600,2.07,80800
0.41,360700,1.24,41000,1.62,3900,1.64,4700,1.64,10200,1.64,19400
0.41,322300,1.22,3900,1.24,1400,1.24,5700,1.24,11700,1.23,23500
0.41,282800,1.0,1300,0.99,1500,0.99,6700,0.99,13500,0.99,27200
0.41,82000,0.5,1400,0.5,2500,0.5,11700,0.5,23400,0.5,46500
0.25,600,0.25,2400,0.25,4500,0.25,21700,0.25,43200,0.25,86100
