throughput,Caracal ES=100,throughput,Caracal ES=500,throughput,Caracal ES=1000,throughput,Caracal ES=5000,throughput,Caracal ES=10000,throughput,Caracal ES=20000
0.41,458100,1.22,135300,1.6,95600,2.13,78900,1.73,210400,1.69,431300
0.41,442900,1.21,123300,1.59,84800,2.13,65200,1.73,181300,1.7,371200
0.41,401300,1.2,84800,1.58,45600,1.81,36300,1.71,89000,1.64,203200
0.41,369200,1.19,46500,1.59,5800,1.63,7500,1.63,10600,1.63,21300
0.41,320200,1.2,6600,1.24,2900,1.23,13300,1.23,16700,1.23,24600
0.41,285600,1.0,4000,0.99,3900,0.98,7900,0.99,14200,0.99,28300
0.41,89900,0.5,2600,0.5,11100,0.5,15500,0.5,24400,0.5,48100
0.25,9400,0.25,2400,0.25,4600,0.25,22100,0.25,44100,0.25,87500
